x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
8.9808640391e+07,-7.7631061833e+08,1.2150350982e+06,1.2834551586e+01,2.1209396663e+00,-2.9595304318e-01
1.0088798999e+08,-7.7439816114e+08,9.5919195194e+05,1.2813705990e+01,2.3067180715e+00,-2.9620939063e-01
1.1194648718e+08,-7.7232398551e+08,7.0317109603e+05,1.2784062333e+01,2.4927359573e+00,-2.9648862613e-01
1.2298160554e+08,-7.7008944452e+08,4.4697920810e+05,1.2758479934e+01,2.6803076988e+00,-2.9654620601e-01
1.3399101622e+08,-7.6769335228e+08,1.9071384771e+05,1.2726534225e+01,2.8663368351e+00,-2.9663421651e-01
1.4497243636e+08,-7.6513676262e+08,-6.5601678400e+04,1.2692009394e+01,3.0516845652e+00,-2.9668920160e-01
1.5592337239e+08,-7.6241969554e+08,-3.2191038139e+05,1.2657716002e+01,3.2386832778e+00,-2.9656037816e-01
1.6684162691e+08,-7.5954175552e+08,-5.7813393361e+05,1.2616320436e+01,3.4225135775e+00,-2.9654655233e-01
1.7772469469e+08,-7.5650431583e+08,-8.3425829323e+05,1.2574988863e+01,3.6077748299e+00,-2.9636653223e-01
1.8857035073e+08,-7.5330651865e+08,-1.0901879977e+06,1.2529703867e+01,3.7945748918e+00,-2.9605868044e-01
1.9937608328e+08,-7.4994954091e+08,-1.3458988853e+06,1.2482756890e+01,3.9769306565e+00,-2.9583036885e-01
2.1013949021e+08,-7.4643349635e+08,-1.6013281656e+06,1.2432835569e+01,4.1618990164e+00,-2.9542032405e-01
2.2085839847e+08,-7.4275830774e+08,-1.8564009488e+06,1.2378808851e+01,4.3456053179e+00,-2.9500313824e-01
2.3153009967e+08,-7.3892544704e+08,-2.1111024854e+06,1.2324627164e+01,4.5264280977e+00,-2.9457410431e-01
2.4215257467e+08,-7.3493417754e+08,-2.3653312688e+06,1.2263370182e+01,4.7111123581e+00,-2.9397032437e-01
2.5272324620e+08,-7.3078600343e+08,-2.6190679216e+06,1.2203853408e+01,4.8924859345e+00,-2.9334351046e-01
2.6323958420e+08,-7.2648114320e+08,-2.8722475365e+06,1.2140723060e+01,5.0726054231e+00,-2.9267520197e-01
2.7369959383e+08,-7.2201965400e+08,-3.1247893602e+06,1.2071134656e+01,5.2542123704e+00,-2.9192427495e-01
2.8410044465e+08,-7.1740333035e+08,-3.3766837173e+06,1.2004982130e+01,5.4325289437e+00,-2.9111450736e-01
2.9444009944e+08,-7.1263150720e+08,-3.6278238062e+06,1.1929775773e+01,5.6114990740e+00,-2.9026920321e-01
3.0471612566e+08,-7.0770588051e+08,-3.8781876432e+06,1.1854558521e+01,5.7905054094e+00,-2.8929601236e-01
3.1492590862e+08,-7.0262703088e+08,-4.1277183948e+06,1.1779749665e+01,5.9673066535e+00,-2.8824766320e-01
3.2506746084e+08,-6.9739504872e+08,-4.3763305451e+06,1.1695940341e+01,6.1429062587e+00,-2.8724499594e-01
3.3513807964e+08,-6.9201195578e+08,-4.6240148015e+06,1.1614971514e+01,6.3182649748e+00,-2.8607461638e-01
3.4513569132e+08,-6.8647738261e+08,-4.8706693426e+06,1.1528296446e+01,6.4924837725e+00,-2.8487857554e-01
3.5505787521e+08,-6.8079302558e+08,-5.1162655632e+06,1.1438036658e+01,6.6648400455e+00,-2.8367038802e-01
3.6490219025e+08,-6.7495977411e+08,-5.3607490899e+06,1.1348892778e+01,6.8386069918e+00,-2.8223600264e-01
3.7466655798e+08,-6.6897795678e+08,-5.6040376587e+06,1.1253729768e+01,7.0086604944e+00,-2.8088470084e-01
3.8434828994e+08,-6.6284961342e+08,-5.8461160747e+06,1.1157828042e+01,7.1769690853e+00,-2.7946729561e-01
3.9394551668e+08,-6.5657470203e+08,-6.0868856907e+06,1.1057710664e+01,7.3474371905e+00,-2.7787680315e-01
4.0345568534e+08,-6.5015509249e+08,-6.3263207363e+06,1.0955706102e+01,7.5126765535e+00,-2.7636654566e-01
4.1287649566e+08,-6.4359175133e+08,-6.5643627823e+06,1.0851264789e+01,7.6793503717e+00,-2.7467669681e-01
4.2220602526e+08,-6.3688533679e+08,-6.8009337898e+06,1.0743293666e+01,7.8454305537e+00,-2.7291024452e-01
4.3144141327e+08,-6.3003802742e+08,-7.0360203811e+06,1.0635834623e+01,8.0055952432e+00,-2.7120311883e-01
4.4058100677e+08,-6.2304986576e+08,-7.2695178426e+06,1.0520787485e+01,8.1688103424e+00,-2.6933545472e-01
4.4962231410e+08,-6.1592302461e+08,-7.5014039891e+06,1.0406514831e+01,8.3288095844e+00,-2.6742805416e-01
4.5856294318e+08,-6.0865861345e+08,-7.7316203317e+06,1.0289999278e+01,8.4862989578e+00,-2.6547491850e-01
4.6740120625e+08,-6.0125741362e+08,-7.9600836315e+06,1.0166977369e+01,8.6454082981e+00,-2.6340153376e-01
4.7613422756e+08,-5.9372195249e+08,-8.1867881111e+06,1.0048135503e+01,8.7995184915e+00,-2.6129128114e-01
4.8476034539e+08,-5.8605238974e+08,-8.4116289113e+06,9.9211596769e+00,8.9527460407e+00,-2.5916737629e-01
4.9327728595e+08,-5.7825101258e+08,-8.6345803477e+06,9.7922268197e+00,9.1051891783e+00,-2.5695279226e-01
5.0168268703e+08,-5.7031929195e+08,-8.8555921090e+06,9.6648217123e+00,9.2552950328e+00,-2.5462502384e-01
5.0997490054e+08,-5.6225807366e+08,-9.0745780411e+06,9.5292080742e+00,9.4039388081e+00,-2.5230890870e-01
5.1815124453e+08,-5.5407006836e+08,-9.2915317799e+06,9.3963001609e+00,9.5505574608e+00,-2.4986360899e-01
5.2621009146e+08,-5.4575578362e+08,-9.5063562353e+06,9.2594202227e+00,9.6955134436e+00,-2.4736390861e-01
5.3414918342e+08,-5.3731750003e+08,-9.7190205698e+06,9.1178109933e+00,9.8365714876e+00,-2.4492459955e-01
5.4196641319e+08,-5.2875694297e+08,-9.9294762378e+06,8.9770473968e+00,9.9785770775e+00,-2.4226149164e-01
5.4966016437e+08,-5.2007525936e+08,-1.0137644552e+07,8.8315694400e+00,1.0117796653e+01,-2.3960184611e-01
5.5722781047e+08,-5.1127517673e+08,-1.0343516837e+07,8.6856947771e+00,1.0252789314e+01,-2.3693674328e-01
5.6466802197e+08,-5.0235750730e+08,-1.0547000855e+07,8.5366789669e+00,1.0389711337e+01,-2.3407093549e-01
5.7197848914e+08,-4.9332472764e+08,-1.0748071214e+07,8.3858319131e+00,1.0519979087e+01,-2.3131818206e-01
5.7915725511e+08,-4.8417858533e+08,-1.0946675502e+07,8.2322587210e+00,1.0649735756e+01,-2.2844826753e-01
5.8620299072e+08,-4.7492051992e+08,-1.1142738676e+07,8.0752472708e+00,1.0780384777e+01,-2.2542675794e-01
5.9311298509e+08,-4.6555343169e+08,-1.1336256644e+07,7.9200527658e+00,1.0903540569e+01,-2.2247971714e-01
5.9988613977e+08,-4.5607820478e+08,-1.1527133450e+07,7.7584937913e+00,1.1028582871e+01,-2.1937855275e-01
6.0652031978e+08,-4.4649759701e+08,-1.1715348888e+07,7.5973509839e+00,1.1149693965e+01,-2.1625424227e-01
6.1301352634e+08,-4.3681351663e+08,-1.1900855344e+07,7.4349160219e+00,1.1266219683e+01,-2.1313817157e-01
6.1936473277e+08,-4.2702745991e+08,-1.2083573976e+07,7.2654141947e+00,1.1384696447e+01,-2.0988795138e-01
6.2557136719e+08,-4.1714263102e+08,-1.2263508309e+07,7.1005661923e+00,1.1497855753e+01,-2.0658831343e-01
6.3163236504e+08,-4.0716006553e+08,-1.2440565874e+07,6.9302042071e+00,1.1609207128e+01,-2.0325205881e-01
6.3754585207e+08,-3.9708256743e+08,-1.2614722573e+07,6.7571940206e+00,1.1718322530e+01,-1.9987508030e-01
6.4330995036e+08,-3.8691237650e+08,-1.2785939610e+07,6.5865546488e+00,1.1823808452e+01,-1.9641477891e-01
6.4892370550e+08,-3.7665105191e+08,-1.2954137530e+07,6.4082119842e+00,1.1927526201e+01,-1.9296377347e-01
6.5438481898e+08,-3.6630188940e+08,-1.3119317650e+07,6.2317607329e+00,1.2028388244e+01,-1.8941690282e-01
6.5969238079e+08,-3.5586629967e+08,-1.3281398622e+07,6.0539831726e+00,1.2128091114e+01,-1.8574549662e-01
6.6484457558e+08,-3.4534709555e+08,-1.3440356416e+07,5.8721654132e+00,1.2222074571e+01,-1.8217963093e-01
6.6983984678e+08,-3.3474668216e+08,-1.3596155019e+07,5.6912755903e+00,1.2315189463e+01,-1.7845537377e-01
6.7467738294e+08,-3.2406690443e+08,-1.3748724639e+07,5.5065776587e+00,1.2406005866e+01,-1.7470232835e-01
6.7935498213e+08,-3.1331101258e+08,-1.3898064782e+07,5.3211404817e+00,1.2490857896e+01,-1.7100879012e-01
6.8387212869e+08,-3.0248064684e+08,-1.4044098109e+07,5.1339124003e+00,1.2578332426e+01,-1.6706427750e-01
6.8822706707e+08,-2.9157883353e+08,-1.4186809075e+07,4.9463584539e+00,1.2658723598e+01,-1.6321700501e-01
6.9241838700e+08,-2.8060795706e+08,-1.4326160385e+07,4.7570459128e+00,1.2735732213e+01,-1.5934442400e-01
6.9644565095e+08,-2.6957007757e+08,-1.4462086380e+07,4.5643344773e+00,1.2814085304e+01,-1.5530938516e-01
7.0030667466e+08,-2.5846859718e+08,-1.4594594587e+07,4.3737095326e+00,1.2883836080e+01,-1.5139026052e-01
7.0400121902e+08,-2.4730516833e+08,-1.4723607519e+07,4.1780759508e+00,1.2955125748e+01,-1.4731433687e-01
7.0752785213e+08,-2.3608302271e+08,-1.4849116066e+07,3.9834172025e+00,1.3023079695e+01,-1.4318420609e-01
7.1088518424e+08,-2.2480469255e+08,-1.4971091778e+07,3.7897564567e+00,1.3084337997e+01,-1.3910810656e-01
7.1407308558e+08,-2.1347220414e+08,-1.5089466428e+07,3.5893757415e+00,1.3146675299e+01,-1.3493367410e-01
7.1708962068e+08,-2.0208914778e+08,-1.5204253720e+07,3.3929846395e+00,1.3203183782e+01,-1.3075152950e-01
7.1993463408e+08,-1.9065730008e+08,-1.5315382440e+07,3.1932655711e+00,1.3257759840e+01,-1.2651607308e-01
7.2260700213e+08,-1.7917984154e+08,-1.5422839498e+07,2.9909578316e+00,1.3310011295e+01,-1.2224748159e-01
7.2510555303e+08,-1.6765958020e+08,-1.5526606540e+07,2.7928820877e+00,1.3357867350e+01,-1.1790430455e-01
7.2743024570e+08,-1.5609860736e+08,-1.5626620557e+07,2.5890534253e+00,1.3403026990e+01,-1.1358710079e-01
7.2957945477e+08,-1.4450046962e+08,-1.5722893829e+07,2.3858908746e+00,1.3443662943e+01,-1.0927343402e-01
7.3155328602e+08,-1.3286723882e+08,-1.5815367223e+07,2.1830413764e+00,1.3483974596e+01,-1.0480134627e-01
7.3335072087e+08,-1.2120205733e+08,-1.5904029682e+07,1.9770700271e+00,1.3518441543e+01,-1.0043586010e-01
7.3497094525e+08,-1.0950777884e+08,-1.5988864322e+07,1.7730050116e+00,1.3550950373e+01,-9.5950095774e-02
7.3641413532e+08,-9.7786755945e+07,-1.6069819768e+07,1.5674865687e+00,1.3581592882e+01,-9.1399498971e-02
7.3767875108e+08,-8.6042426964e+07,-1.6146908581e+07,1.3611891205e+00,1.3603861394e+01,-8.7017957819e-02
7.3876531913e+08,-7.4276962595e+07,-1.6220074335e+07,1.1535846874e+00,1.3628806412e+01,-8.2404852089e-02
7.3967298814e+08,-6.2493683258e+07,-1.6289316156e+07,9.4659661426e-01,1.3647819930e+01,-7.7852704095e-02
7.4040110461e+08,-5.0695373568e+07,-1.6354619710e+07,7.3943931746e-01,1.3661888532e+01,-7.3327675708e-02
7.4095028742e+08,-3.8884514196e+07,-1.6415939786e+07,5.3045487738e-01,1.3677871108e+01,-6.8617312307e-02
7.4131909133e+08,-2.7064650565e+07,-1.6473299950e+07,3.2444548946e-01,1.3683935571e+01,-6.4082000392e-02
7.4150829329e+08,-1.5237866076e+07,-1.6526645165e+07,1.1447692478e-01,1.3690261170e+01,-5.9452752377e-02
7.4151745300e+08,-3.4075484072e+06,-1.6575978695e+07,-9.4939320291e-02,1.3694508320e+01,-5.4758890270e-02
7.4134600983e+08,8.4234116465e+06,-1.6621296853e+07,-3.0122599785e-01,1.3691662964e+01,-5.0128175924e-02
7.4099488397e+08,2.0252638416e+07,-1.6662553992e+07,-5.1227963758e-01,1.3689746727e+01,-4.5399651692e-02
7.4046294860e+08,3.2076508209e+07,-1.6699779481e+07,-7.1916774192e-01,1.3681326015e+01,-4.0714587122e-02
7.3975107863e+08,4.3892845464e+07,-1.6732928839e+07,-9.2707361921e-01,1.3670053594e+01,-3.6012213266e-02
7.3885915576e+08,5.5698439202e+07,-1.6762003129e+07,-1.1381878628e+00,1.3656429689e+01,-3.1324195548e-02
7.3778694344e+08,6.7490254249e+07,-1.6787008575e+07,-1.3441965907e+00,1.3638876431e+01,-2.6569952509e-02
7.3653549161e+08,7.9265882428e+07,-1.6807908357e+07,-1.5528466712e+00,1.3619231589e+01,-2.1802574786e-02
7.3510398190e+08,9.1021882125e+07,-1.6824729816e+07,-1.7607945433e+00,1.3593718714e+01,-1.7117543993e-02
7.3349358656e+08,1.0275588942e+08,-1.6837439966e+07,-1.9664906999e+00,1.3567764247e+01,-1.2290626077e-02
7.3170428822e+08,1.1446479894e+08,-1.6846043669e+07,-2.1746934323e+00,1.3535765555e+01,-7.6090129017e-03
7.2973620486e+08,1.2614570057e+08,-1.6850546143e+07,-2.3811746677e+00,1.3501346656e+01,-2.8715528458e-03
7.2759067303e+08,1.3779599673e+08,-1.6850922157e+07,-2.5865915128e+00,1.3467037865e+01,2.0019648351e-03
7.2526695370e+08,1.4941239450e+08,-1.6847202794e+07,-2.7914632898e+00,1.3423199580e+01,6.6506222060e-03
7.2276662058e+08,1.6099256078e+08,-1.6839359073e+07,-2.9962526288e+00,1.3381261352e+01,1.1478378638e-02
7.2008988196e+08,1.7253329873e+08,-1.6827407442e+07,-3.1997197447e+00,1.3334160126e+01,1.6236738371e-02
7.1723698719e+08,1.8403187696e+08,-1.6811356523e+07,-3.4027848818e+00,1.3280939177e+01,2.0884709065e-02
