epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.007087,0.008198,0.218199,77.8313,0.507515,3.577e-05,0.1,heat,0.1
50,0.040397,0.007135,0.221968,74.4845,0.497202,1.651e-05,0.1,heat,0.1
100,0.036145,0.008502,0.218825,73.9976,0.503405,7.167e-05,0.11426,heat,0.1
150,0.038271,0.009564,0.217981,73.3078,0.503491,0.00010861,0.118127,heat,0.1
200,0.032601,0.009564,0.220578,73.2374,0.502292,7.29e-05,0.118127,heat,0.1
250,0.031538,0.009261,0.21987,73.278,0.493965,3.507e-05,0.121342,heat,0.1
300,0.034727,0.010627,0.217523,73.2033,0.504406,4.116e-05,0.132073,heat,0.1
350,0.031538,0.00835,0.220697,73.6141,0.502748,3.766e-05,0.132073,heat,0.1
400,0.035436,0.008502,0.223036,73.6905,0.498852,1.099e-05,0.132073,heat,0.1
450,0.029766,0.008502,0.222911,73.533,0.498973,0.0,0.132633,heat,0.1
500,0.030829,0.009261,0.219365,74.0886,0.500178,0.0,0.14867,heat,0.1
550,0.030475,0.008805,0.219132,73.5019,0.503073,0.0,0.149731,heat,0.1
600,0.02764,0.008653,0.221106,73.2494,0.50065,0.0,0.149731,heat,0.1
650,0.025159,0.008805,0.22196,73.3528,0.499787,0.0,0.149731,heat,0.1
700,0.030475,0.00835,0.218347,73.6821,0.4994,5.48e-06,0.166142,heat,0.1
750,0.029412,0.007591,0.221424,73.3752,0.502603,0.00016104,0.166142,heat,0.1
800,0.032601,0.009261,0.218322,73.9931,0.501757,0.0002608,0.18025,heat,0.1
850,0.031184,0.009109,0.222773,73.3154,0.498817,2.414e-05,0.18025,heat,0.1
900,0.030829,0.009564,0.221984,74.5129,0.504345,2.797e-05,0.183796,heat,0.1
950,0.040397,0.009564,0.22033,73.702,0.498137,2.31e-05,0.191273,heat,0.1
1000,0.031538,0.007439,0.222606,74.2513,0.503095,2.417e-05,0.191273,heat,0.1
1050,0.028703,0.009716,0.219538,73.5867,0.498786,8.37e-05,0.205152,heat,0.1
1100,0.034018,0.007894,0.22286,73.2068,0.498273,0.0,0.205152,heat,0.1
1150,0.031538,0.008957,0.220179,73.989,0.500904,0.0,0.217255,heat,0.1
1200,0.028349,0.009261,0.220613,74.2913,0.508132,3.73e-05,0.217255,heat,0.1
1250,0.02764,0.009261,0.217841,74.1142,0.504772,0.0,0.229899,heat,0.1
1300,0.03331,0.008653,0.221424,73.249,0.502567,0.0,0.229899,heat,0.1
1350,0.029057,0.008653,0.220014,73.6902,0.494869,9.063e-05,0.23629,heat,0.1
1400,0.028703,0.007287,0.221906,73.8889,0.496608,4.371e-05,0.23629,heat,0.1
1450,0.029766,0.008805,0.220965,73.4496,0.502207,1.204e-05,0.240539,heat,0.1
1500,0.030829,0.009716,0.218304,74.0065,0.504678,8.109e-05,0.252654,heat,0.1
1550,0.026577,0.009716,0.220608,73.4691,0.504393,9.867e-05,0.252654,heat,0.1
1600,0.03012,0.008805,0.223395,73.1149,0.506209,2.359e-05,0.252654,heat,0.1
1650,0.030829,0.007743,0.221809,72.7173,0.499519,9.251e-05,0.259777,heat,0.1
1700,0.036499,0.008198,0.21841,73.6872,0.502751,0.0,0.275218,heat,0.1
1750,0.034018,0.009564,0.221549,72.988,0.497504,0.00011418,0.275218,heat,0.1
1800,0.034727,0.008805,0.222988,73.1026,0.505183,6.817e-05,0.275218,heat,0.1
1850,0.036853,0.009109,0.219572,73.686,0.498874,1.466e-05,0.290656,heat,0.1
1900,0.036145,0.008805,0.220747,73.2633,0.499371,2.582e-05,0.290656,heat,0.1
1950,0.034727,0.009261,0.219456,73.3435,0.499413,1.746e-05,0.296521,heat,0.1
2000,0.024451,0.008957,0.218354,73.5861,0.503972,0.00016807,0.301554,heat,0.1
2050,0.035436,0.01002,0.2177,73.9037,0.505426,4.764e-05,0.304554,heat,0.1
2100,0.026223,0.009109,0.217978,73.3032,0.500689,0.00011649,0.304554,heat,0.1
2150,0.028349,0.008805,0.218869,73.4392,0.500027,3.945e-05,0.304554,heat,0.1
2200,0.026931,0.008805,0.219728,73.6934,0.504394,5.912e-05,0.304554,heat,0.1
2250,0.035082,0.008653,0.221692,73.5379,0.499413,0.00013595,0.304554,heat,0.1
2300,0.030475,0.01002,0.222469,73.2268,0.495958,6.557e-05,0.304554,heat,0.1
2350,0.036145,0.007591,0.221873,72.3543,0.502081,0.0001374,0.307237,heat,0.1
2400,0.034373,0.007743,0.218586,73.1796,0.502334,0.0,0.322163,heat,0.1
2450,0.035082,0.010779,0.217586,73.2641,0.501898,1.037e-05,0.326748,heat,0.1
2500,0.03331,0.008653,0.221527,73.0332,0.500011,8.76e-06,0.326748,heat,0.1
2550,0.033664,0.007439,0.223549,72.4652,0.501444,9.332e-05,0.326748,heat,0.1
2600,0.037562,0.008653,0.220011,72.4715,0.500857,1.286e-05,0.3427,heat,0.1
2650,0.034373,0.01002,0.220139,73.9875,0.503108,1.363e-05,0.3427,heat,0.1
2700,0.036145,0.009564,0.218306,73.2249,0.496423,3.349e-05,0.35106,heat,0.1
2750,0.032955,0.009261,0.217332,72.9756,0.502141,5.558e-05,0.355533,heat,0.1
2800,0.030475,0.010931,0.219756,73.5614,0.49581,5.266e-05,0.355533,heat,0.1
2850,0.027994,0.010779,0.218645,72.9783,0.503961,0.0,0.360605,heat,0.1
2900,0.032247,0.009412,0.219616,73.8805,0.504738,8.581e-05,0.360605,heat,0.1
2950,0.033664,0.009261,0.217242,73.1593,0.497283,0.0,0.371473,heat,0.1
3000,0.030829,0.009109,0.218094,74.0152,0.500811,0.00013132,0.371473,heat,0.1
3050,0.029057,0.009412,0.217116,74.5445,0.504066,2.014e-05,0.375965,heat,0.1
3100,0.028349,0.009868,0.222241,73.3759,0.495928,0.0,0.375965,heat,0.1
3150,0.027994,0.009716,0.221685,73.4213,0.507998,3.52e-06,0.378468,heat,0.1
3200,0.033664,0.008502,0.222559,73.6429,0.503566,2.89e-06,0.378468,heat,0.1
3250,0.031892,0.008805,0.222974,73.2178,0.506582,0.0,0.378468,heat,0.1
3300,0.029057,0.007287,0.220615,73.5563,0.503308,0.0,0.389103,heat,0.1
3350,0.027286,0.008198,0.21784,74.5382,0.503798,0.00011738,0.401761,heat,0.1
3400,0.024451,0.009412,0.223472,73.8285,0.506648,2.245e-05,0.401761,heat,0.1
3450,0.029766,0.009412,0.217435,73.7137,0.500276,2.177e-05,0.429148,heat,0.1
3500,0.034018,0.008957,0.21756,73.5058,0.500372,5.245e-05,0.429148,heat,0.1
