epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.007087,0.009109,0.223188,78.2404,0.476973,3.284e-05,0.1,heat,0.1
50,0.372077,0.000607,0.216798,31.7372,0.528793,3.682e-05,0.129048,heat,0.1
100,0.879164,0.000304,0.219394,34.821,0.474745,9.149e-05,0.129048,heat,0.1
150,0.984763,0.000759,0.215122,37.5273,0.447768,4.999e-05,0.148713,heat,0.1
200,0.995748,0.000455,0.2168,39.4497,0.455409,2.59e-06,0.148713,heat,0.1
250,0.997874,0.000911,0.221863,41.0465,0.569922,3.913e-05,0.148713,heat,0.1
300,0.999646,0.000911,0.219852,42.6179,0.581558,4.79e-06,0.157817,heat,0.1
350,0.998228,0.000607,0.223213,43.3049,0.662979,3.931e-05,0.157817,heat,0.1
400,0.999291,0.002733,0.218456,43.4999,0.493899,3.469e-05,0.179358,heat,0.1
450,1.0,0.002581,0.218762,43.0865,0.518039,1.059e-05,0.179358,heat,0.1
500,0.998583,0.004099,0.217362,42.9871,0.568601,1.259e-05,0.185778,heat,0.1
550,0.999291,0.007743,0.220052,42.708,0.57979,1.43e-05,0.185778,heat,0.1
600,0.999646,0.010323,0.223212,41.8366,0.553968,7.92e-06,0.185778,heat,0.1
650,1.0,0.021558,0.222576,40.0014,0.528045,5.07e-06,0.188631,heat,0.1
700,1.0,0.040231,0.222947,38.6989,0.571267,1.615e-05,0.188631,heat,0.1
750,1.0,0.074085,0.218777,36.6717,0.46931,3.495e-05,0.207509,heat,0.1
800,1.0,0.159101,0.217868,34.4773,0.486305,6.77e-05,0.211674,heat,0.1
850,0.999646,0.25353,0.2232,31.7265,0.469258,2.526e-05,0.211674,heat,0.1
900,1.0,0.315166,0.219955,30.4109,0.482765,7.799e-05,0.22632,heat,0.1
950,1.0,0.463489,0.222755,28.1543,0.471714,1.781e-05,0.22632,heat,0.1
1000,1.0,0.587065,0.216935,26.9238,0.544977,1.693e-05,0.252797,heat,0.1
1050,1.0,0.6402,0.217999,25.419,0.496098,3.116e-05,0.252797,heat,0.1
1100,1.0,0.730226,0.220052,23.6701,0.580522,1.196e-05,0.252797,heat,0.1
1150,1.0,0.670108,0.221219,23.7583,0.441361,1.637e-05,0.252797,heat,0.1
1200,1.0,0.738272,0.215905,23.4796,0.514899,1.97e-05,0.277113,heat,0.1
1250,1.0,0.844239,0.220204,22.7162,0.575501,8.4e-06,0.277113,heat,0.1
1300,1.0,0.872932,0.221574,22.4205,0.511394,8.5e-06,0.277113,heat,0.1
1350,1.0,0.815698,0.215694,21.6945,0.505068,1.017e-05,0.304007,heat,0.1
1400,1.0,0.895704,0.216341,21.3329,0.445845,2.557e-05,0.304007,heat,0.1
1450,1.0,0.896159,0.214305,20.712,0.553095,3.241e-05,0.313462,heat,0.1
1500,1.0,0.882192,0.216414,20.1955,0.507161,2.143e-05,0.313462,heat,0.1
1550,1.0,0.883407,0.223581,20.2964,0.519245,4.35e-05,0.313462,heat,0.1
1600,1.0,0.935783,0.219644,20.2767,0.505212,6.188e-05,0.331231,heat,0.1
1650,1.0,0.941096,0.213365,20.1776,0.568572,8.48e-06,0.360236,heat,0.1
1700,1.0,0.909063,0.214337,20.2498,0.471807,6.681e-05,0.360236,heat,0.1
1750,1.0,0.897829,0.214461,20.2482,0.495534,1.058e-05,0.360236,heat,0.1
