epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.009213,0.010475,0.221151,77.798,0.474838,1.997e-05,0.1,heat,0.1
50,0.34231,0.000304,0.215302,32.1368,0.546755,1.777e-05,0.126805,heat,0.1
100,0.79837,0.000152,0.215071,34.4479,0.441694,0.00011771,0.127876,heat,0.1
150,0.974486,0.000607,0.218961,36.4923,0.510529,7.928e-05,0.127876,heat,0.1
200,0.997874,0.0,0.215378,38.3122,0.518648,1.983e-05,0.144377,heat,0.1
250,0.997165,0.000759,0.215357,39.1743,0.555469,4.492e-05,0.144477,heat,0.1
300,0.999646,0.000607,0.216213,39.8493,0.480507,3.021e-05,0.144477,heat,0.1
350,1.0,0.001366,0.216001,40.555,0.48741,2.051e-05,0.145458,heat,0.1
400,1.0,0.00167,0.219931,40.5826,0.553196,9.8e-07,0.145458,heat,0.1
450,1.0,0.002733,0.21683,40.7901,0.49734,7.443e-05,0.159662,heat,0.1
500,0.999646,0.003188,0.214816,40.6962,0.472065,5.975e-05,0.168991,heat,0.1
550,1.0,0.003644,0.217805,40.9379,0.469437,1.97e-06,0.168991,heat,0.1
600,1.0,0.004403,0.21642,41.5841,0.425917,9.04e-06,0.175372,heat,0.1
650,1.0,0.008046,0.218887,42.9008,0.532639,1.036e-05,0.175372,heat,0.1
700,1.0,0.010931,0.216188,43.1469,0.572245,8.344e-05,0.187782,heat,0.1
750,1.0,0.015637,0.222202,43.0475,0.507768,0.00010222,0.187782,heat,0.1
800,1.0,0.025353,0.219019,42.2877,0.567725,6.386e-05,0.202208,heat,0.1
850,1.0,0.051617,0.217384,40.7099,0.518846,2.26e-05,0.209702,heat,0.1
900,1.0,0.106574,0.216549,39.2288,0.505407,1.091e-05,0.213551,heat,0.1
950,1.0,0.148778,0.222955,37.6724,0.477221,0.00012527,0.213551,heat,0.1
1000,1.0,0.207985,0.215526,35.0275,0.518698,5.78e-06,0.247439,heat,0.1
1050,1.0,0.371034,0.222862,32.7403,0.581339,4.616e-05,0.247439,heat,0.1
1100,1.0,0.437377,0.216875,31.0251,0.471475,1.53e-05,0.274668,heat,0.1
1150,1.0,0.556247,0.215128,29.3678,0.453503,0.00015554,0.282755,heat,0.1
1200,1.0,0.568696,0.218649,28.3455,0.521055,1.142e-05,0.282755,heat,0.1
1250,1.0,0.708365,0.216844,27.6661,0.508435,1.478e-05,0.291046,heat,0.1
1300,1.0,0.742979,0.221486,26.561,0.524886,9.532e-05,0.291046,heat,0.1
1350,1.0,0.785335,0.214893,25.48,0.468526,3.832e-05,0.321262,heat,0.1
1400,1.0,0.816001,0.214063,25.3325,0.491614,1.044e-05,0.325135,heat,0.1
1450,1.0,0.862305,0.215753,25.1924,0.490121,3.181e-05,0.325135,heat,0.1
1500,1.0,0.889631,0.21749,24.8126,0.467138,7.57e-06,0.325135,heat,0.1
1550,1.0,0.901321,0.217257,24.4744,0.504853,2.384e-05,0.32621,heat,0.1
1600,1.0,0.901473,0.217133,23.8622,0.467851,3.942e-05,0.326779,heat,0.1
1650,1.0,0.903294,0.220956,23.5153,0.530738,7.463e-05,0.326779,heat,0.1
1700,1.0,0.877334,0.215623,23.4704,0.483606,5.435e-05,0.351208,heat,0.1
1750,0.999646,0.936997,0.214864,22.8573,0.485211,1.111e-05,0.354733,heat,0.1
1800,1.0,0.948839,0.220608,22.5613,0.479035,6.31e-06,0.354733,heat,0.1
1850,1.0,0.918324,0.216732,22.4118,0.570185,6.955e-05,0.372463,heat,0.1
1900,1.0,0.889176,0.222311,22.365,0.452675,4.168e-05,0.372463,heat,0.1
