epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.009213,0.010323,0.217412,77.8525,0.502872,3.007e-05,0.1,heat,0.1
50,0.342665,0.000911,0.217322,31.3686,0.505314,2.663e-05,0.100411,heat,0.1
100,0.82849,0.000304,0.21786,33.2261,0.497611,3.58e-05,0.100411,heat,0.1
150,0.98051,0.000607,0.217179,35.7864,0.502515,7.17e-05,0.103543,heat,0.1
200,0.997874,0.000911,0.216793,37.2698,0.497809,0.00019901,0.105321,heat,0.1
250,0.997874,0.000759,0.218066,38.1411,0.500544,9.01e-05,0.105321,heat,0.1
300,0.999291,0.001215,0.216411,38.8483,0.498707,8.436e-05,0.11294,heat,0.1
350,0.999646,0.002884,0.220904,39.2558,0.500094,1.042e-05,0.11294,heat,0.1
400,0.999291,0.002733,0.219753,39.5275,0.496006,7.526e-05,0.118168,heat,0.1
450,1.0,0.005921,0.219011,39.5749,0.494196,0.00012782,0.121548,heat,0.1
500,0.999646,0.006983,0.22135,38.998,0.501001,2.452e-05,0.121548,heat,0.1
550,0.999291,0.017459,0.216525,37.9128,0.501092,2.639e-05,0.143589,heat,0.1
600,1.0,0.025657,0.222355,37.2644,0.50218,6.055e-05,0.143589,heat,0.1
650,1.0,0.035676,0.215645,37.5921,0.497652,3.088e-05,0.174229,heat,0.1
700,1.0,0.056019,0.221404,37.3408,0.502766,7.94e-05,0.174229,heat,0.1
750,1.0,0.09625,0.220324,37.1385,0.496611,0.00011686,0.179118,heat,0.1
800,1.0,0.196751,0.217141,36.3602,0.501445,8.708e-05,0.193672,heat,0.1
850,1.0,0.219371,0.222587,35.3476,0.507374,7.057e-05,0.193672,heat,0.1
900,1.0,0.373311,0.21666,33.6109,0.504675,0.00013903,0.220661,heat,0.1
950,1.0,0.336572,0.220446,33.9103,0.495553,8.81e-06,0.220661,heat,0.1
1000,1.0,0.378017,0.219572,33.0844,0.497428,9.594e-05,0.224634,heat,0.1
1050,1.0,0.512828,0.218033,31.7501,0.500673,2.101e-05,0.231666,heat,0.1
1100,1.0,0.557613,0.216123,30.5441,0.501166,1.559e-05,0.240464,heat,0.1
1150,1.0,0.623804,0.222857,29.7583,0.505787,0.00013267,0.240464,heat,0.1
1200,1.0,0.66191,0.219282,29.6105,0.503599,2.59e-05,0.256635,heat,0.1
1250,1.0,0.811295,0.222388,29.416,0.501222,2.291e-05,0.256635,heat,0.1
1300,1.0,0.800668,0.219721,28.5368,0.498435,0.0001343,0.268701,heat,0.1
1350,1.0,0.861545,0.220139,28.1261,0.497948,3.563e-05,0.268701,heat,0.1
1400,1.0,0.890846,0.222196,27.7861,0.504857,7.11e-06,0.268701,heat,0.1
1450,1.0,0.90876,0.218588,26.534,0.5067,3.828e-05,0.285072,heat,0.1
1500,1.0,0.959314,0.223356,26.3932,0.500893,2.056e-05,0.285072,heat,0.1
1550,1.0,0.955518,0.218799,25.5274,0.500109,9.58e-06,0.305682,heat,0.1
1600,1.0,0.872932,0.216545,24.9563,0.499655,1.738e-05,0.316039,heat,0.1
