epoch,train_acc,test_acc,epsilon,hidden_eff_rank,kappa_tail,kappa_grad,M_eff_contract,phase,weight_decay
1,0.007087,0.009109,0.22309,78.296,0.518622,4.759e-05,0.1,heat,0.1
50,0.361446,0.000455,0.22094,32.425,0.549165,9.14e-06,0.109683,heat,0.1
100,0.872431,0.000607,0.218346,36.4259,0.510885,6.725e-05,0.121494,heat,0.1
150,0.981219,0.000759,0.217351,40.2065,0.523062,9.418e-05,0.126062,heat,0.1
200,0.997165,0.000455,0.217759,42.7302,0.511672,2.81e-05,0.126062,heat,0.1
250,0.998228,0.000911,0.218961,44.2137,0.567085,1.84e-05,0.126062,heat,0.1
300,1.0,0.001063,0.219879,45.8579,0.601072,5.707e-05,0.126062,heat,0.1
350,1.0,0.000759,0.219943,47.1947,0.658281,1.169e-05,0.126062,heat,0.1
400,0.999291,0.000455,0.217453,47.935,0.541122,4.343e-05,0.137448,heat,0.1
450,1.0,0.001366,0.21719,48.1051,0.550644,9.249e-05,0.138662,heat,0.1
500,1.0,0.002277,0.221168,48.2714,0.573997,1.733e-05,0.138662,heat,0.1
550,1.0,0.001974,0.223361,48.6561,0.578647,1.212e-05,0.138662,heat,0.1
600,1.0,0.002581,0.22337,48.1756,0.570718,1.129e-05,0.138662,heat,0.1
650,1.0,0.005769,0.21752,46.8464,0.569245,4.198e-05,0.165202,heat,0.1
700,1.0,0.009564,0.220374,45.8771,0.601808,4.124e-05,0.165202,heat,0.1
750,1.0,0.025049,0.2202,43.964,0.503695,7.809e-05,0.165994,heat,0.1
800,1.0,0.044482,0.222287,41.5129,0.537335,5.207e-05,0.165994,heat,0.1
850,0.999291,0.084409,0.221314,38.7878,0.538723,3.874e-05,0.170381,heat,0.1
900,1.0,0.133596,0.220236,36.3794,0.518985,8.06e-06,0.17526,heat,0.1
950,1.0,0.221801,0.215679,34.1448,0.514407,0.00011271,0.196171,heat,0.1
1000,1.0,0.319417,0.223048,33.3788,0.564072,4.253e-05,0.196171,heat,0.1
1050,1.0,0.379991,0.222795,31.8506,0.565805,5.44e-06,0.197303,heat,0.1
1100,1.0,0.509944,0.222372,29.6422,0.575004,3.02e-05,0.199206,heat,0.1
1150,1.0,0.615455,0.221476,28.1783,0.478191,3.997e-05,0.203241,heat,0.1
1200,1.0,0.77486,0.216043,27.2159,0.547439,1.809e-05,0.228081,heat,0.1
1250,1.0,0.811143,0.216288,26.0397,0.614522,4.88e-06,0.228081,heat,0.1
1300,1.0,0.906634,0.215408,25.5952,0.563097,0.00010985,0.232157,heat,0.1
1350,1.0,0.859572,0.217063,24.6277,0.509049,1.74e-05,0.232157,heat,0.1
1400,1.0,0.91301,0.219188,24.2476,0.505276,8.78e-06,0.232157,heat,0.1
1450,1.0,0.908608,0.219108,23.7799,0.568934,1.975e-05,0.232522,heat,0.1
1500,1.0,0.92303,0.216868,23.1794,0.515842,2.299e-05,0.242794,heat,0.1
1550,0.999291,0.94899,0.221385,23.2125,0.557304,4.159e-05,0.242794,heat,0.1
1600,1.0,0.954,0.217456,23.4164,0.53858,3.956e-05,0.2607,heat,0.1
1650,1.0,0.930469,0.214012,22.7223,0.601719,9.43e-06,0.276663,heat,0.1
1700,1.0,0.932898,0.215178,22.9045,0.489543,1.348e-05,0.276663,heat,0.1
