timestamp,seed,arm,lr,noise_on,quench_on,onset_epoch,grok90,grok95,mem2grok95,final_test_acc,peak_test_acc,epochs_run,wall_sec,max_epochs,status
2026-06-17T11:05:09,42,lr0.001_n0_q0,0.001,0,0,60,3374,3728,3668,0.9470,0.9730,3928,482.7,4000,grokked
2026-06-17T11:13:04,42,lr0.001_n0_q1,0.001,0,1,60,-1,-1,-1,0.0030,0.0074,4000,474.9,4000,censored
2026-06-17T11:21:18,42,lr0.001_n1_q0,0.001,1,0,59,3346,3570,3511,0.9627,0.9639,3770,494.2,4000,grokked
2026-06-17T11:30:20,42,lr0.001_n1_q1,0.001,1,1,59,-1,-1,-1,0.0024,0.0077,4000,542.1,4000,censored
2026-06-17T11:32:39,42,lr0.003_n0_q0,0.003,0,0,20,685,758,738,0.9792,0.9924,958,139.2,4000,grokked
2026-06-17T11:42:18,42,lr0.003_n0_q1,0.003,0,1,20,-1,-1,-1,0.1336,0.1931,4000,578.9,4000,censored
2026-06-17T11:46:01,42,lr0.003_n1_q0,0.003,1,0,21,921,1036,1015,0.9727,0.9859,1236,223.3,4000,grokked
2026-06-17T11:55:16,42,lr0.003_n1_q1,0.003,1,1,21,-1,-1,-1,0.0753,0.0879,4000,555.0,4000,censored
2026-06-17T12:03:46,43,lr0.001_n0_q0,0.001,0,0,60,3643,3926,3866,0.9317,0.9613,4000,509.3,4000,grokked
2026-06-17T12:12:39,43,lr0.001_n0_q1,0.001,0,1,60,-1,-1,-1,0.0026,0.0082,4000,533.3,4000,censored
2026-06-17T12:21:36,43,lr0.001_n1_q0,0.001,1,0,60,3136,3621,3561,0.9654,0.9671,3821,537.0,4000,grokked
2026-06-17T12:30:07,43,lr0.001_n1_q1,0.001,1,1,60,-1,-1,-1,0.0020,0.0082,4000,511.3,4000,censored
2026-06-17T12:32:12,43,lr0.003_n0_q0,0.003,0,0,21,843,895,874,0.9857,0.9868,1095,125.2,4000,grokked
2026-06-17T12:39:50,43,lr0.003_n0_q1,0.003,0,1,21,-1,-1,-1,0.2195,0.5503,4000,457.7,4000,censored
2026-06-17T12:42:04,43,lr0.003_n1_q0,0.003,1,0,21,738,857,836,0.9668,0.9757,1057,134.2,4000,grokked
2026-06-17T12:49:41,43,lr0.003_n1_q1,0.003,1,1,21,-1,-1,-1,0.1761,0.5040,4000,457.0,4000,censored
2026-06-17T12:57:19,44,lr0.001_n0_q0,0.001,0,0,63,3538,3808,3745,0.9558,0.9558,4000,457.4,4000,grokked
2026-06-17T13:04:56,44,lr0.001_n0_q1,0.001,0,1,63,-1,-1,-1,0.0020,0.0087,4000,457.1,4000,censored
2026-06-17T13:13:22,44,lr0.001_n1_q0,0.001,1,0,63,3372,3808,3745,0.9557,0.9663,4000,506.2,4000,grokked
2026-06-17T13:20:59,44,lr0.001_n1_q1,0.001,1,1,63,-1,-1,-1,0.0020,0.0087,4000,457.3,4000,censored
2026-06-17T13:23:04,44,lr0.003_n0_q0,0.003,0,0,22,786,892,870,0.9552,0.9794,1092,125.0,4000,grokked
2026-06-17T13:30:42,44,lr0.003_n0_q1,0.003,0,1,22,-1,-1,-1,0.1611,0.3348,4000,457.3,4000,censored
2026-06-17T13:32:53,44,lr0.003_n1_q0,0.003,1,0,22,712,836,814,0.9781,0.9784,1036,131.5,4000,grokked
2026-06-17T13:40:30,44,lr0.003_n1_q1,0.003,1,1,22,-1,-1,-1,0.1486,0.3587,4000,457.1,4000,censored
2026-06-17T13:47:26,45,lr0.001_n0_q0,0.001,0,0,61,3182,3434,3373,0.9476,0.9678,3634,415.6,4000,grokked
2026-06-17T13:55:01,45,lr0.001_n0_q1,0.001,0,1,61,-1,-1,-1,0.0032,0.0077,4000,455.7,4000,censored
2026-06-17T14:02:46,45,lr0.001_n1_q0,0.001,1,0,58,3248,3481,3423,0.9686,0.9853,3681,464.3,4000,grokked
2026-06-17T14:10:23,45,lr0.001_n1_q1,0.001,1,1,58,-1,-1,-1,0.0785,0.0864,4000,457.3,4000,censored
2026-06-17T14:12:37,45,lr0.003_n0_q0,0.003,0,0,20,853,970,950,0.9583,0.9813,1170,134.1,4000,grokked
2026-06-17T14:20:13,45,lr0.003_n0_q1,0.003,0,1,20,-1,-1,-1,0.1227,0.1933,4000,455.9,4000,censored
2026-06-17T14:22:34,45,lr0.003_n1_q0,0.003,1,0,20,811,914,894,0.9898,0.9907,1114,140.8,4000,grokked
2026-06-17T14:30:11,45,lr0.003_n1_q1,0.003,1,1,20,-1,-1,-1,0.0673,0.0929,4000,456.7,4000,censored
2026-06-17T14:36:33,46,lr0.001_n0_q0,0.001,0,0,59,2903,3160,3101,0.9637,0.9649,3360,382.8,4000,grokked
2026-06-17T14:44:10,46,lr0.001_n0_q1,0.001,0,1,59,-1,-1,-1,0.1075,0.1310,4000,456.1,4000,censored
2026-06-17T14:52:28,46,lr0.001_n1_q0,0.001,1,0,59,3429,3749,3690,0.9628,0.9633,3949,498.4,4000,grokked
2026-06-17T15:00:09,46,lr0.001_n1_q1,0.001,1,1,59,-1,-1,-1,0.0164,0.0187,4000,461.2,4000,censored
2026-06-17T15:02:20,46,lr0.003_n0_q0,0.003,0,0,20,819,944,924,0.9702,0.9725,1144,131.2,4000,grokked
2026-06-17T15:09:56,46,lr0.003_n0_q1,0.003,0,1,20,-1,-1,-1,0.1547,0.2153,4000,455.8,4000,censored
2026-06-17T15:11:50,46,lr0.003_n1_q0,0.003,1,0,20,692,698,678,0.9839,0.9876,898,113.9,4000,grokked
2026-06-17T15:19:28,46,lr0.003_n1_q1,0.003,1,1,20,-1,-1,-1,0.3191,0.7024,4000,457.5,4000,censored
2026-06-17T15:25:54,47,lr0.001_n0_q0,0.001,0,0,58,2975,3187,3129,0.9592,0.9739,3387,386.7,4000,grokked
2026-06-17T15:33:32,47,lr0.001_n0_q1,0.001,0,1,58,-1,-1,-1,0.0100,0.0181,4000,457.4,4000,censored
2026-06-17T15:41:57,47,lr0.001_n1_q0,0.001,1,0,58,3592,-1,-1,0.9320,0.9335,4000,505.4,4000,censored
2026-06-17T15:49:35,47,lr0.001_n1_q1,0.001,1,1,58,-1,-1,-1,0.0120,0.0169,4000,457.7,4000,censored
2026-06-17T15:51:50,47,lr0.003_n0_q0,0.003,0,0,20,863,980,960,0.9860,0.9860,1180,135.0,4000,grokked
2026-06-17T15:59:27,47,lr0.003_n0_q1,0.003,0,1,20,-1,-1,-1,0.1410,0.2069,4000,456.8,4000,censored
2026-06-17T16:01:49,47,lr0.003_n1_q0,0.003,1,0,19,760,929,910,0.9757,0.9866,1129,142.8,4000,grokked
2026-06-17T16:09:27,47,lr0.003_n1_q1,0.003,1,1,19,-1,-1,-1,0.2444,0.5488,4000,457.2,4000,censored
2026-06-17T16:16:20,48,lr0.001_n0_q0,0.001,0,0,54,3127,3415,3361,0.9501,0.9587,3615,413.2,4000,grokked
2026-06-17T16:23:57,48,lr0.001_n0_q1,0.001,0,1,54,-1,-1,-1,0.0023,0.0077,4000,456.8,4000,censored
2026-06-17T16:30:02,48,lr0.001_n1_q0,0.001,1,0,57,2586,2693,2636,0.9702,0.9705,2893,365.4,4000,grokked
2026-06-17T16:37:39,48,lr0.001_n1_q1,0.001,1,1,57,-1,-1,-1,0.0802,0.0956,4000,457.4,4000,censored
2026-06-17T16:39:50,48,lr0.003_n0_q0,0.003,0,0,20,839,943,923,0.9753,0.9825,1143,130.5,4000,grokked
2026-06-17T16:47:26,48,lr0.003_n0_q1,0.003,0,1,20,-1,-1,-1,0.2752,0.6220,4000,456.5,4000,censored
2026-06-17T16:49:27,48,lr0.003_n1_q0,0.003,1,0,19,669,754,735,0.9851,0.9904,954,120.8,4000,grokked
2026-06-17T16:57:04,48,lr0.003_n1_q1,0.003,1,1,19,-1,-1,-1,0.3334,0.7278,4000,457.0,4000,censored
2026-06-17T17:04:13,49,lr0.001_n0_q0,0.001,0,0,59,3441,3514,3455,0.9555,0.9602,3714,428.7,4000,grokked
2026-06-17T17:11:49,49,lr0.001_n0_q1,0.001,0,1,59,-1,-1,-1,0.0029,0.0091,4000,456.6,4000,censored
2026-06-17T17:20:02,49,lr0.001_n1_q0,0.001,1,0,60,3444,3695,3635,0.9484,0.9661,3895,493.0,4000,grokked
2026-06-17T17:27:40,49,lr0.001_n1_q1,0.001,1,1,60,-1,-1,-1,0.0029,0.0091,4000,457.5,4000,censored
2026-06-17T17:29:30,49,lr0.003_n0_q0,0.003,0,0,20,670,762,742,0.9528,0.9822,962,110.2,4000,grokked
2026-06-17T17:37:07,49,lr0.003_n0_q1,0.003,0,1,20,-1,-1,-1,0.1617,0.1946,4000,457.1,4000,censored
2026-06-17T17:39:02,49,lr0.003_n1_q0,0.003,1,0,20,625,710,690,0.9535,0.9636,910,114.8,4000,grokked
2026-06-17T17:46:39,49,lr0.003_n1_q1,0.003,1,1,20,-1,-1,-1,0.3099,0.6973,4000,457.3,4000,censored
