epoch,train_acc,test_acc,train_loss,functional_defect,class_separation,geometric_defect,explained_variance,functorial_defect_euclidean,functorial_defect_tangent,manifold_curvature,dirichlet_total,dirichlet_within_class,dirichlet_between_class,ridge_ratio,dirichlet_normalized,energy_grad_norm,info_grad_norm,gradient_ratio,tsallis_q,hub_concentration,activation_gini,hessian_trace,hessian_max_eigenvalue,hessian_density_zero,hessian_spectral_gap,hessian_n_negative,phase
1,0.015237419866025448,0.009108850732445717,4.573896884918213,1.0074558384922248,0.026654900229523593,0.8608897924423218,0.2588667869567871,0.8679802804764905,348.7596630278933,0.9319186191565063,0.05877910181879997,0.0,0.05877910181879997,inf,0.693751317761871,"tensor(0.0644, device='cuda:0')","tensor(0.0194, device='cuda:0')","tensor(0.3014, device='cuda:0')",1.214385271516558,0.22335392236709595,0.39707644448627333,,,,,,MEMORIZATION
100,0.10595322400331497,0.0003036283596884459,3.7287280559539795,0.9465136018289991,0.0904421188013426,0.5582796335220337,0.6883241534233093,0.37670893556714624,26.552015033346898,0.7674591092197143,17.12331771850586,0.0,17.12331771850586,inf,0.22252167404919027,"tensor(0.1396, device='cuda:0')","tensor(0.2841, device='cuda:0')","tensor(2.0357, device='cuda:0')",1.1409396601569455,0.18741098046302795,0.15563372902939587,,,,,,MEMORIZATION
200,0.7204110622406006,0.0,1.607810378074646,0.9240575473933852,0.11610747781604276,0.7733185887336731,0.4019761085510254,0.7583338051388162,126.94522691351477,0.8827982840339104,114.51134490966797,0.0,114.51134490966797,inf,0.2742433222134042,"tensor(0.2659, device='cuda:0')","tensor(0.7718, device='cuda:0')","tensor(2.9023, device='cuda:0')",1.0,0.14149980247020721,0.15560975361218565,,,,,,MEMORIZATION
300,1.0,0.0,0.12318503856658936,0.9004624131538242,0.14447617040150798,0.7831411957740784,0.3866852819919586,0.997620453289655,275.2896792441428,0.8966383247850901,314.7693786621094,0.0,314.7693786621094,inf,0.30453851805842574,"tensor(0.3440, device='cuda:0')","tensor(1.2884, device='cuda:0')","tensor(3.7454, device='cuda:0')",1.0,0.1367630809545517,0.12904487728015024,,,,,,MEMORIZATION
400,1.0,0.0,0.039421048015356064,0.8922512795067504,0.15469725936402218,0.7846442461013794,0.3843274414539337,0.6451386091827285,204.8990136016487,0.8898595144398781,369.1357727050781,0.0,369.1357727050781,inf,0.3173962017578398,"tensor(0.1698, device='cuda:0')","tensor(1.3589, device='cuda:0')","tensor(8.0023, device='cuda:0')",1.0,0.13976483047008514,0.11462992202825029,,,,,,MEMORIZATION
500,1.0,0.0,0.02981657348573208,0.8875171011320427,0.16067449721891353,0.7853983044624329,0.3831464350223541,0.8767513006712324,857.0504483506965,0.893330385903858,364.26904296875,0.0,364.26904296875,inf,0.31709043260015035,"tensor(0.1434, device='cuda:0')","tensor(1.3497, device='cuda:0')","tensor(9.4089, device='cuda:0')",1.0,0.14245925843715668,0.10580210270900314,105.21094945888032,5.41124848126859,0.03,0.04616725880632083,39,MEMORIZATION
600,1.0,0.0,0.0260547436773777,0.8838463387685203,0.16535265844559385,0.7857961058616638,0.3825218081474304,0.6392614496443796,104.72744812161957,0.8953706457604198,363.8864440917969,0.0,363.8864440917969,inf,0.3206065915031432,"tensor(0.1100, device='cuda:0')","tensor(1.3328, device='cuda:0')","tensor(12.1164, device='cuda:0')",1.0,0.14411474764347076,0.0993793983423289,,,,,,MEMORIZATION
700,1.0,0.0,0.02341974899172783,0.8806244886519978,0.1694917768793524,0.7856159210205078,0.38280439376831055,0.5462286939985719,216.74434575649926,0.8916295696776128,366.2848815917969,0.0,366.2848815917969,inf,0.31996056003898304,"tensor(0.1019, device='cuda:0')","tensor(1.3212, device='cuda:0')","tensor(12.9647, device='cuda:0')",1.0,0.14572401344776154,0.09347209084736252,,,,,,MEMORIZATION
800,1.0,0.0,0.02125336416065693,0.877898512327382,0.17301518113718536,0.7855812907218933,0.38285917043685913,1.061321250164392,138.48243150824055,0.8979154282949724,362.63775634765625,0.0,362.63775634765625,inf,0.3188286586418656,"tensor(0.0980, device='cuda:0')","tensor(1.3218, device='cuda:0')","tensor(13.4899, device='cuda:0')",1.0,0.14683258533477783,0.0879365645413569,,,,,,MEMORIZATION
900,1.0,0.0,0.019307425245642662,0.8752148707300986,0.1765069559880858,0.7865992188453674,0.38125401735305786,0.7409674640685342,71.37837396896592,0.8906853749109471,363.18109130859375,0.0,363.18109130859375,inf,0.32088194469930165,"tensor(0.0847, device='cuda:0')","tensor(1.3190, device='cuda:0')","tensor(15.5694, device='cuda:0')",1.0,0.14782024919986725,0.08371918424442981,,,,,,MEMORIZATION
