epoch,train_acc,test_acc,train_loss,functional_defect,class_separation,geometric_defect,explained_variance,functorial_defect_euclidean,functorial_defect_tangent,manifold_curvature,dirichlet_total,dirichlet_within_class,dirichlet_between_class,ridge_ratio,dirichlet_normalized,energy_grad_norm,info_grad_norm,gradient_ratio,tsallis_q,hub_concentration,activation_gini,gauss_curvature,curvature_variance,hessian_trace,hessian_max_eigenvalue,hessian_density_zero,hessian_spectral_gap,hessian_n_negative,phase
1,0.014883061870932579,0.009108850732445717,4.571424961090088,1.0069322201946163,0.027179933356945293,0.7909868359565735,0.37433841824531555,1.5959040395025106,96.14980126701346,0.8962612438971025,0.033109271277983986,0.04403233900666237,0.02764773741364479,0.6278961789756732,0.8394302994772951,"tensor(0.3505, device='cuda:0')","tensor(0.1432, device='cuda:0')","tensor(0.4085, device='cuda:0')",1.2356958031301537,0.23257394134998322,0.42814541739068557,-8.583069188716763e-08,2.8157589310857066e-14,,,,,,MEMORIZATION
50,0.10134655982255936,0.00015181417984422296,3.8235585689544678,0.9423674106850654,0.09502207754522554,0.5287140011787415,0.7204604744911194,2.4944032685491426,313.3761199659884,0.7412527143209395,22.30905278523763,33.51065444946289,16.708251953125,0.498595214794225,0.3384898796454837,"tensor(0.8909, device='cuda:0')","tensor(1.5788, device='cuda:0')","tensor(1.7722, device='cuda:0')",1.1440019421079912,0.17263273894786835,0.1818949470676413,-1.0490417423625331e-07,2.563121359578334e-14,,,,,,MEMORIZATION
100,0.2197023332118988,0.0,3.0522263050079346,0.9295847813892545,0.10959670561804379,0.6925963163375854,0.5203088521957397,1.6736476551951962,123.42541949724773,0.8327923876456942,76.07835896809895,111.86589813232422,58.18458938598633,0.5201280314860637,0.3737319364943341,"tensor(1.2177, device='cuda:0')","tensor(2.7338, device='cuda:0')","tensor(2.2451, device='cuda:0')",1.0,0.13837073743343353,0.14557233891645005,-7.867813422990366e-08,2.992030722574063e-14,,,,,,MEMORIZATION
150,0.39829906821250916,0.00015181417984422296,2.473517894744873,0.9187326174887098,0.12230779515785012,0.7215210795402527,0.4794057309627533,1.2079147759902087,86.77844685466265,0.8378808639237343,134.78075663248697,194.04090881347656,105.15068054199219,0.5418995467758253,0.4067917343198581,"tensor(1.5893, device='cuda:0')","tensor(3.8040, device='cuda:0')","tensor(2.3935, device='cuda:0')",1.0,0.12866124510765076,0.12406881050350427,-1.0013580009626821e-07,2.8915499145467163e-14,,,,,,MEMORIZATION
200,0.603118360042572,0.0,1.9298450946807861,0.9097292657793233,0.1330967145197951,0.732778787612915,0.4630342125892639,1.7546526237311326,84.3119577679586,0.8553440167581337,201.09441121419272,289.7274475097656,156.77789306640625,0.5411219903876102,0.4329939266887424,"tensor(1.7990, device='cuda:0')","tensor(4.4585, device='cuda:0')","tensor(2.4783, device='cuda:0')",1.0,0.12684834003448486,0.10753997058395992,-6.19888282926695e-08,3.286583041849957e-14,,,,,,MEMORIZATION
250,0.7753366231918335,0.0,1.468794345855713,0.9029465861653252,0.14136079323374073,0.7390621900558472,0.4537859559059143,1.7285958296273016,589.11541092428,0.8669270463429913,261.6517842610677,372.28857421875,206.33338928222656,0.5542297120324429,0.44088050333095874,"tensor(2.0054, device='cuda:0')","tensor(5.2095, device='cuda:0')","tensor(2.5978, device='cuda:0')",1.0,0.13155028223991394,0.09326038168726425,-8.82148754044465e-08,3.290602382591268e-14,,,,,,MEMORIZATION
300,0.88944011926651,0.0,1.1360650062561035,0.8984674101131027,0.14688768023853255,0.7418989539146423,0.44958508014678955,1.941829966487064,742.8669731843158,0.8527404986533513,312.2455342610677,444.40948486328125,246.16355895996094,0.5539115778226269,0.4480470273346403,"tensor(2.0283, device='cuda:0')","tensor(5.6364, device='cuda:0')","tensor(2.7789, device='cuda:0')",1.0,0.13777810335159302,0.08454374584698754,-9.775161657898934e-08,2.4224483299840026e-14,,,,,,MEMORIZATION
350,0.947554886341095,0.00015181417984422296,0.9217588305473328,0.8955403765844342,0.15053026342128795,0.7421103119850159,0.4492724537849426,1.5358576804684847,276.3036956545011,0.8703524547132593,341.3217468261719,487.6933288574219,268.1359558105469,0.549804436404208,0.45400407390725217,"tensor(1.9205, device='cuda:0')","tensor(5.7169, device='cuda:0')","tensor(2.9768, device='cuda:0')",1.0,0.14145462214946747,0.07924038669203315,-8.34465012644614e-08,3.0287780611445644e-14,,,,,,MEMORIZATION
400,0.9698795080184937,0.0,0.7870574593544006,0.893386535910416,0.15322479522642465,0.7425127029418945,0.4486745595932007,2.1034850382680963,305.70757451725984,0.8608064146964431,362.77919514973956,511.2745361328125,288.5315246582031,0.5643377564636859,0.4490229030860184,"tensor(2.3076, device='cuda:0')","tensor(6.1299, device='cuda:0')","tensor(2.6565, device='cuda:0')",1.0,0.1429794579744339,0.07567038937215531,-1.1444091541079615e-07,2.5814950288635848e-14,,,,,,MEMORIZATION
450,0.9897235631942749,0.0,0.685367226600647,0.8915134344527214,0.15558064565707422,0.744085431098938,0.44633394479751587,1.5246319006726465,382.04576888376755,0.8723633326993021,374.5262044270833,527.9131469726562,297.8327331542969,0.5641699489058631,0.4499842767243146,"tensor(2.0444, device='cuda:0')","tensor(6.1288, device='cuda:0')","tensor(2.9978, device='cuda:0')",1.0,0.14466264843940735,0.07088557257946493,-1.0967254837623841e-07,2.1152642083657053e-14,,,,,,MEMORIZATION
