epoch,train_loss,train_acc,test_acc,entropy,extropy,entropy_normalized,consolidation_index,kl_velocity,l2_velocity,defect,noise_scale,weight_decay,phase,M_nominal,spurious_certainty
1,4.592847845527563,0.008504606661941885,0.004250797024442083,4.570572853088379,-0.9947842955589294,0.9990954345674625,0.0009045654325374741,0.0,0.0,0.19992108643054962,0.05,0.1,heat,0.05,False
100,5.114122321096699,0.013819985825655563,0.008197965689995446,4.451062202453613,-0.9747509360313416,0.9729712376080595,0.02702876239194052,0.21191532909870148,0.010663934983313084,0.0,0.15,0.1,explore,14.900000000000023,False
200,5.596557424309548,0.01630049610205528,0.008501594048884165,4.486371040344238,-0.9821584820747375,0.9806895039764796,0.019310496023520418,0.3457089960575104,0.012162674218416214,0.0,0.15,0.1,explore,29.899999999999896,False
300,5.203561429227336,0.01559177888022679,0.008501594048884165,4.444841384887695,-0.9737626910209656,0.9716114101577245,0.028388589842275547,0.21716207265853882,0.011170454323291779,0.0,0.15,0.1,explore,44.89999999999976,False
400,5.202049378598674,0.014528703047484054,0.008349779869439806,4.46575403213501,-0.976838231086731,0.9761827693857901,0.023817230614209928,0.27542582154273987,0.010801402851939201,0.0,0.15,0.1,explore,59.899999999999615,False
500,5.022778044925647,0.015946137491141033,0.008197965689995446,4.479071140289307,-0.9797273278236389,0.9790937965997221,0.020906203400277934,0.24870583415031433,0.010837619192898273,0.0,0.15,0.1,explore,74.89999999999999,False
600,5.105174964733338,0.014883061658398299,0.008501594048884165,4.4851908683776855,-0.9809650182723999,0.9804315265934059,0.019568473406594067,0.19434238970279694,0.008803914301097393,0.0,0.15,0.1,explore,89.90000000000056,False
700,5.47379323873627,0.015946137491141033,0.008349779869439806,4.478168487548828,-0.9784207344055176,0.978896482989153,0.021103517010847006,0.2885205149650574,0.011035545729100704,0.0,0.15,0.1,explore,104.90000000000113,False
800,5.281123932827724,0.014528703047484054,0.008349779869439806,4.471763610839844,-0.9786343574523926,0.9774964214903871,0.02250357850961293,0.22704623639583588,0.010796323418617249,0.0,0.15,0.1,explore,119.9000000000017,False
900,5.200232462936572,0.014883061658398299,0.008197965689995446,4.4731597900390625,-0.9789208769798279,0.9778016165520597,0.02219838344794034,0.23296572268009186,0.010417863726615906,0.0,0.15,0.1,explore,134.90000000000225,False
1000,5.6139443108205045,0.014883061658398299,0.008046151510551085,4.433813095092773,-0.9712731838226318,0.9692007027170263,0.030799297282973703,0.30770352482795715,0.014432419091463089,0.0,0.15,0.1,explore,149.90000000000282,False
1100,5.352826209550493,0.013819985825655563,0.008653408228328526,4.485624313354492,-0.9808256030082703,0.9805262746504622,0.01947372534953784,0.19963157176971436,0.009064661338925362,0.0,0.15,0.1,explore,164.9000000000034,False
1200,5.484899092256353,0.014883061658398299,0.008197965689995446,4.471251964569092,-0.9784383177757263,0.9773845791744121,0.022615420825587873,0.20430532097816467,0.008928705006837845,0.0,0.15,0.1,explore,179.90000000000396,False
1300,5.067361574494437,0.013465627214741318,0.008197965689995446,4.454039573669434,-0.9759630560874939,0.9736220702464078,0.02637792975359221,0.22593367099761963,0.010467015206813812,0.0,0.15,0.1,explore,194.90000000000452,False
1400,5.350366281659416,0.014883061658398299,0.008805222407772886,4.461123943328857,-0.9764895439147949,0.9751706641778525,0.024829335822147525,0.28233602643013,0.011599678546190262,0.0,0.15,0.1,explore,209.9000000000051,False
1500,5.3868926294733965,0.014883061658398299,0.008046151510551085,4.451571941375732,-0.975304126739502,0.9730826629908901,0.02691733700910992,0.2657893896102905,0.012018989771604538,0.0,0.15,0.1,explore,224.90000000000566,False
1600,5.466385535979539,0.014883061658398299,0.008197965689995446,4.4683990478515625,-0.9775524139404297,0.9767609514237334,0.023239048576266574,0.21505330502986908,0.010118845850229263,0.0,0.15,0.1,explore,239.90000000000623,False
1700,5.126182813322946,0.015237420269312544,0.008046151510551085,4.435686111450195,-0.9711191058158875,0.9696101310647892,0.030389868935210784,0.29024526476860046,0.013944502919912338,0.0,0.15,0.1,explore,254.9000000000068,False
1800,5.696480054533883,0.01559177888022679,0.008957036587217247,4.431223392486572,-0.9721463918685913,0.9686346117402694,0.031365388259730564,0.34169819951057434,0.01497824676334858,0.0,0.15,0.1,explore,269.90000000000475,False
1900,5.344924048091588,0.01559177888022679,0.007894337331106725,4.464218616485596,-0.9768126010894775,0.975847138204579,0.024152861795420977,0.2783893644809723,0.01173450704663992,0.0,0.15,0.1,explore,284.9000000000025,False
2000,5.29565789190571,0.014528703047484054,0.008349779869439806,4.460545063018799,-0.9748467206954956,0.9750441249685388,0.02495587503146124,0.2944309711456299,0.012187210842967033,0.0,0.15,0.1,explore,299.9000000000002,False
2100,5.498614413014958,0.01559177888022679,0.008501594048884165,4.4663472175598145,-0.9787583351135254,0.9763124355936865,0.023687564406313477,0.26062747836112976,0.011319517157971859,0.0,0.15,0.1,explore,314.89999999999793,False
2200,5.738731550366691,0.014528703047484054,0.008501594048884165,4.48840856552124,-0.9811863303184509,0.9811348928079439,0.01886510719205614,0.24284689128398895,0.00987895205616951,0.0,0.15,0.1,explore,329.89999999999566,False
2300,5.541483257593733,0.014883061658398299,0.008197965689995446,4.461197853088379,-0.9761247038841248,0.9751868203371965,0.024813179662803497,0.24801744520664215,0.01086516585201025,0.0,0.15,0.1,explore,344.8999999999934,False
2400,5.3339132512553356,0.014883061658398299,0.008501594048884165,4.440764427185059,-0.97199946641922,0.9707202155616518,0.029279784438348222,0.32280248403549194,0.013417334295809269,0.0,0.15,0.1,explore,359.8999999999911,False
2500,5.397061594416586,0.014528703047484054,0.008349779869439806,4.475630283355713,-0.9781943559646606,0.9783416492072939,0.02165835079270606,0.21040494740009308,0.009027005173265934,0.0,0.15,0.1,explore,374.89999999998884,False
2600,5.482888607496626,0.015237420269312544,0.008349779869439806,4.4688544273376465,-0.9777947068214417,0.9768604942119496,0.023139505788050352,0.319531112909317,0.01299506425857544,0.0,0.15,0.1,explore,389.89999999998656,False
2700,5.193753060330166,0.014883061658398299,0.008046151510551085,4.469453811645508,-0.9789742827415466,0.9769915154525652,0.02300848454743476,0.21285586059093475,0.00979648344218731,0.0,0.15,0.1,explore,404.8999999999843,False
2800,5.135681313075376,0.01559177888022679,0.008349779869439806,4.453059673309326,-0.9749014377593994,0.9734078708434921,0.026592129156507882,0.26613569259643555,0.012530739419162273,0.0,0.15,0.1,explore,419.899999999982,False
2900,5.33457771579871,0.014528703047484054,0.008349779869439806,4.467883586883545,-0.9765231609344482,0.9766482752414697,0.023351724758530312,0.22238479554653168,0.010711473412811756,0.0,0.15,0.1,explore,434.89999999997974,False
3000,5.752292697349291,0.01559177888022679,0.008349779869439806,4.459882736206055,-0.9757681488990784,0.9748993449341593,0.025100655065840694,0.23233813047409058,0.010935249738395214,0.0,0.15,0.1,explore,449.89999999997747,False
3100,5.70570634456163,0.015237420269312544,0.008653408228328526,4.44551420211792,-0.9740802645683289,0.971758483324398,0.02824151667560204,0.2687402367591858,0.012023430317640305,0.0,0.15,0.1,explore,464.8999999999752,False
3200,5.264439641759637,0.015946137491141033,0.008349779869439806,4.472259044647217,-0.977094292640686,0.9776047198746349,0.02239528012536507,0.23114901781082153,0.009054979309439659,0.0,0.15,0.1,explore,479.8999999999729,False
3300,5.573132547099939,0.014883061658398299,0.008349779869439806,4.434263706207275,-0.969693124294281,0.9692992031723817,0.030700796827618282,0.3319454789161682,0.014998662285506725,0.0,0.15,0.1,explore,494.89999999997065,False
3400,5.369081256094943,0.01559177888022679,0.008349779869439806,4.467726230621338,-0.9787079691886902,0.9766138782570598,0.02338612174294019,0.32844337821006775,0.012147508561611176,0.0,0.15,0.1,explore,509.8999999999684,False
3500,5.181044798218802,0.014883061658398299,0.008046151510551085,4.444287300109863,-0.9729712009429932,0.9714902910792874,0.028509708920712584,0.28170648217201233,0.013061360456049442,0.0,0.15,0.1,explore,524.8999999999661,False
3600,5.188760843169823,0.013465627214741318,0.008501594048884165,4.4558939933776855,-0.9753502607345581,0.9740274334960133,0.025972566503986716,0.18008802831172943,0.009558684192597866,0.0,0.15,0.1,explore,539.8999999999638,False
3700,5.58040860529696,0.014528703047484054,0.008349779869439806,4.470559597015381,-0.97785884141922,0.9772332324430089,0.02276676755699114,0.29810336232185364,0.012428326532244682,0.0,0.15,0.1,explore,554.8999999999616,False
3800,5.569865355330907,0.015237420269312544,0.008349779869439806,4.454472541809082,-0.9734260439872742,0.9737167140701779,0.026283285929822098,0.25286439061164856,0.012182577513158321,0.0,0.15,0.1,explore,569.8999999999593,False
3900,5.377623616979363,0.015237420269312544,0.008957036587217247,4.4413580894470215,-0.9738243818283081,0.9708499860028342,0.02915001399716577,0.2647322416305542,0.01139749214053154,0.0,0.15,0.1,explore,584.899999999957,False
4000,5.462191929977931,0.01559177888022679,0.008349779869439806,4.460549831390381,-0.9780336618423462,0.9750451673013997,0.024954832698600327,0.25851544737815857,0.011069673113524914,0.0,0.15,0.1,explore,599.8999999999547,False
4100,5.312678508544236,0.014883061658398299,0.008197965689995446,4.464603424072266,-0.9765886068344116,0.975931254466454,0.024068745533545988,0.2841728627681732,0.011979921720921993,0.0,0.15,0.1,explore,614.8999999999525,False
4200,5.388841896914364,0.015237420269312544,0.008349779869439806,4.482572078704834,-0.9803054332733154,0.9798590773861976,0.020140922613802403,0.22587625682353973,0.009654451161623001,0.0,0.15,0.1,explore,629.8999999999502,False
4300,5.396588721971833,0.015237420269312544,0.008501594048884165,4.469178676605225,-0.9773191809654236,0.9769313728464911,0.02306862715350888,0.24848194420337677,0.011245982721447945,0.0,0.15,0.1,explore,644.8999999999479,False
4400,5.38258635060171,0.014528703047484054,0.008501594048884165,4.465581893920898,-0.9773977994918823,0.9761451411695115,0.023854858830488546,0.2402472048997879,0.010374428704380989,0.0,0.15,0.1,explore,659.8999999999456,False
